# Athena++ data at time=1.000000e-01  cycle=242  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0101 -1.11328e-01  7.94766e-01  6.85448e-01  3.71506e-01 -1.36811e-01  0.00000e+00  7.50000e-01  7.37141e-01  0.00000e+00
0102 -1.07422e-01  7.83190e-01  6.69200e-01  3.94019e-01 -1.46410e-01  0.00000e+00  7.50000e-01  7.21682e-01  0.00000e+00
0103 -1.03516e-01  7.71610e-01  6.53106e-01  4.16735e-01 -1.56281e-01  0.00000e+00  7.50000e-01  7.06125e-01  0.00000e+00
0104 -9.96094e-02  7.60061e-01  6.37210e-01  4.39591e-01 -1.66406e-01  0.00000e+00  7.50000e-01  6.90509e-01  0.00000e+00
0105 -9.57031e-02  7.48579e-01  6.21562e-01  4.62520e-01 -1.76769e-01  0.00000e+00  7.50000e-01  6.74875e-01  0.00000e+00
0106 -9.17969e-02  7.37205e-01  6.06213e-01  4.85443e-01 -1.87345e-01  0.00000e+00  7.50000e-01  6.59273e-01  0.00000e+00
0107 -8.78906e-02  7.25984e-01  5.91219e-01  5.08265e-01 -1.98100e-01  0.00000e+00  7.50000e-01  6.43759e-01  0.00000e+00
0108 -8.39844e-02  7.14970e-01  5.76649e-01  5.30873e-01 -2.08991e-01  0.00000e+00  7.50000e-01  6.28402e-01  0.00000e+00
0109 -8.00781e-02  7.04231e-01  5.62578e-01  5.53125e-01 -2.19958e-01  0.00000e+00  7.50000e-01  6.13286e-01  0.00000e+00
0110 -7.61719e-02  6.93847e-01  5.49103e-01  5.74845e-01 -2.30924e-01  0.00000e+00  7.50000e-01  5.98516e-01  0.00000e+00
0111 -7.22656e-02  6.83919e-01  5.36340e-01  5.95811e-01 -2.41788e-01  0.00000e+00  7.50000e-01  5.84220e-01  0.00000e+00
0112 -6.83594e-02  6.74573e-01  5.24434e-01  6.15744e-01 -2.52424e-01  0.00000e+00  7.50000e-01  5.70555e-01  0.00000e+00
0113 -6.44531e-02  6.65966e-01  5.13566e-01  6.34296e-01 -2.62689e-01  0.00000e+00  7.50000e-01  5.57701e-01  0.00000e+00
0114 -6.05469e-02  6.58300e-01  5.03969e-01  6.51042e-01 -2.72455e-01  0.00000e+00  7.50000e-01  5.45837e-01  0.00000e+00
0115 -5.66406e-02  6.51840e-01  4.95953e-01  6.65457e-01 -2.81717e-01  0.00000e+00  7.50000e-01  5.35062e-01  0.00000e+00
0116 -5.27344e-02  6.46999e-01  4.90016e-01  6.76855e-01 -2.90942e-01  0.00000e+00  7.50000e-01  5.25149e-01  0.00000e+00
0117 -4.88281e-02  6.44632e-01  4.87229e-01  6.84090e-01 -3.02191e-01  0.00000e+00  7.50000e-01  5.14750e-01  0.00000e+00
0118 -4.49219e-02  6.47020e-01  4.90608e-01  6.84518e-01 -3.22667e-01  0.00000e+00  7.50000e-01  4.98884e-01  0.00000e+00
0119 -4.10156e-02  6.60179e-01  5.09040e-01  6.71472e-01 -3.73725e-01  0.00000e+00  7.50000e-01  4.62124e-01  0.00000e+00
0120 -3.71094e-02  6.94358e-01  5.61051e-01  6.33522e-01 -4.98064e-01  0.00000e+00  7.50000e-01  3.70391e-01  0.00000e+00
0121 -3.32031e-02  7.48604e-01  6.49446e-01  5.68898e-01 -7.14564e-01  0.00000e+00  7.50000e-01  1.98558e-01  0.00000e+00
0122 -2.92969e-02  7.90015e-01  7.19637e-01  5.11975e-01 -9.47522e-01  0.00000e+00  7.50000e-01 -1.97079e-03  0.00000e+00
0123 -2.53906e-02  7.94894e-01  7.31715e-01  4.94278e-01 -1.12401e+00  0.00000e+00  7.50000e-01 -1.59564e-01  0.00000e+00
0124 -2.14844e-02  7.76747e-01  7.07095e-01  5.06307e-01 -1.24640e+00  0.00000e+00  7.50000e-01 -2.66275e-01  0.00000e+00
0125 -1.75781e-02  7.51754e-01  6.71908e-01  5.29449e-01 -1.33658e+00  0.00000e+00  7.50000e-01 -3.40838e-01  0.00000e+00
0126 -1.36719e-02  7.26714e-01  6.36986e-01  5.54503e-01 -1.40747e+00  0.00000e+00  7.50000e-01 -3.96277e-01  0.00000e+00
0127 -9.76562e-03  7.03701e-01  6.05472e-01  5.78392e-01 -1.46481e+00  0.00000e+00  7.50000e-01 -4.38855e-01  0.00000e+00
0128 -5.85938e-03  6.83466e-01  5.78360e-01  5.99917e-01 -1.51109e+00  0.00000e+00  7.50000e-01 -4.71621e-01  0.00000e+00
0129 -1.95312e-03  6.66411e-01  5.56082e-01  6.18362e-01 -1.54747e+00  0.00000e+00  7.50000e-01 -4.96270e-01  0.00000e+00
0130  1.95312e-03  6.52726e-01  5.38789e-01  6.33253e-01 -1.57469e+00  0.00000e+00  7.50000e-01 -5.13984e-01  0.00000e+00
0131  5.85938e-03  6.42333e-01  5.26309e-01  6.44410e-01 -1.59364e+00  0.00000e+00  7.50000e-01 -5.25862e-01  0.00000e+00
0132  9.76562e-03  6.34828e-01  5.18102e-01  6.52030e-01 -1.60565e+00  0.00000e+00  7.50000e-01 -5.33103e-01  0.00000e+00
0133  1.36719e-02  6.29507e-01  5.13306e-01  6.56681e-01 -1.61239e+00  0.00000e+00  7.50000e-01 -5.36983e-01  0.00000e+00
0134  1.75781e-02  6.25481e-01  5.10915e-01  6.59154e-01 -1.61561e+00  0.00000e+00  7.50000e-01 -5.38699e-01  0.00000e+00
0135  2.14844e-02  6.21827e-01  5.10003e-01  6.60246e-01 -1.61681e+00  0.00000e+00  7.50000e-01 -5.39201e-01  0.00000e+00
0136  2.53906e-02  6.17674e-01  5.09874e-01  6.60591e-01 -1.61702e+00  0.00000e+00  7.50000e-01 -5.39118e-01  0.00000e+00
0137  2.92969e-02  6.12207e-01  5.10095e-01  6.60598e-01 -1.61683e+00  0.00000e+00  7.50000e-01 -5.38804e-01  0.00000e+00
0138  3.32031e-02  6.04623e-01  5.10438e-01  6.60490e-01 -1.61654e+00  0.00000e+00  7.50000e-01 -5.38425e-01  0.00000e+00
0139  3.71094e-02  5.94124e-01  5.10802e-01  6.60369e-01 -1.61627e+00  0.00000e+00  7.50000e-01 -5.38048e-01  0.00000e+00
0140  4.10156e-02  5.79971e-01  5.11151e-01  6.60273e-01 -1.61606e+00  0.00000e+00  7.50000e-01 -5.37695e-01  0.00000e+00
0141  4.49219e-02  5.61616e-01  5.11475e-01  6.60214e-01 -1.61593e+00  0.00000e+00  7.50000e-01 -5.37367e-01  0.00000e+00
0142  4.88281e-02  5.38874e-01  5.11774e-01  6.60192e-01 -1.61587e+00  0.00000e+00  7.50000e-01 -5.37064e-01  0.00000e+00
0143  5.27344e-02  5.12057e-01  5.12050e-01  6.60205e-01 -1.61587e+00  0.00000e+00  7.50000e-01 -5.36781e-01  0.00000e+00
0144  5.66406e-02  4.82030e-01  5.12308e-01  6.60251e-01 -1.61594e+00  0.00000e+00  7.50000e-01 -5.36515e-01  0.00000e+00
0145  6.05469e-02  4.50145e-01  5.12551e-01  6.60326e-01 -1.61606e+00  0.00000e+00  7.50000e-01 -5.36263e-01  0.00000e+00
0146  6.44531e-02  4.18045e-01  5.12783e-01  6.60430e-01 -1.61623e+00  0.00000e+00  7.50000e-01 -5.36021e-01  0.00000e+00
0147  6.83594e-02  3.87411e-01  5.13005e-01  6.60559e-01 -1.61646e+00  0.00000e+00  7.50000e-01 -5.35786e-01  0.00000e+00
